"scale","value","Haeufigkeit"
"Einstellung_UGC",1,1
"Einstellung_UGC",1.33333333333333,1
"Einstellung_UGC",1.66666666666667,2
"Einstellung_UGC",2,11
"Einstellung_UGC",2.33333333333333,17
"Einstellung_UGC",2.66666666666667,13
"Einstellung_UGC",3,22
"Einstellung_UGC",3.33333333333333,12
"Einstellung_UGC",3.66666666666667,17
"Einstellung_UGC",4,13
"Einstellung_UGC",4.33333333333333,11
"Einstellung_UGC",4.66666666666667,8
"Einstellung_UGC",5,5
"Informationsqualitaet",2,3
"Informationsqualitaet",2.66666666666667,7
"Informationsqualitaet",3,7
"Informationsqualitaet",3.33333333333333,5
"Informationsqualitaet",3.66666666666667,19
"Informationsqualitaet",4,26
"Informationsqualitaet",4.33333333333333,25
"Informationsqualitaet",4.66666666666667,27
"Informationsqualitaet",5,14
"Kaufabsicht",1,14
"Kaufabsicht",1.33333333333333,8
"Kaufabsicht",1.66666666666667,9
"Kaufabsicht",2,12
"Kaufabsicht",2.33333333333333,20
"Kaufabsicht",2.66666666666667,17
"Kaufabsicht",3,13
"Kaufabsicht",3.33333333333333,21
"Kaufabsicht",3.66666666666667,9
"Kaufabsicht",4,8
"Kaufabsicht",4.33333333333333,1
"Kaufabsicht",5,1
"Vertrauenswuerdigkeit",1.6,2
"Vertrauenswuerdigkeit",2,2
"Vertrauenswuerdigkeit",2.2,4
"Vertrauenswuerdigkeit",2.4,1
"Vertrauenswuerdigkeit",2.8,6
"Vertrauenswuerdigkeit",3,8
"Vertrauenswuerdigkeit",3.2,2
"Vertrauenswuerdigkeit",3.4,7
"Vertrauenswuerdigkeit",3.6,14
"Vertrauenswuerdigkeit",3.8,15
"Vertrauenswuerdigkeit",4,16
"Vertrauenswuerdigkeit",4.2,15
"Vertrauenswuerdigkeit",4.4,13
"Vertrauenswuerdigkeit",4.6,15
"Vertrauenswuerdigkeit",4.8,7
"Vertrauenswuerdigkeit",5,6
